TaxaID	Color
GE1783_0001	1
GE1783_0002	2
GE1783_0003	1
GE1783_0004	1
GE1783_0005	2
GE1783_0006	1
GE1783_0007	2
GE1783_0008	0
GE1783_0009	2
GE1783_0010	0
GE1783_0011	0
GE1783_0012	2
GE1783_0013	1
GE1783_0014	2
GE1783_0015	2
GE1783_0016	1
GE1783_0017	0
GE1783_0018	2
GE1783_0019	2
GE1783_0020	2
GE1783_0021	1
GE1783_0022	1
GE1783_0023	1
GE1783_0024	2
GE1783_0025	NA
GE1783_0026	1
GE1783_0027	0
GE1783_0028	0
GE1783_0029	2
GE1783_0030	1
GE1783_0031	0
GE1783_0033	2
GE1783_0034	1
GE1783_0035	1
GE1783_0036	2
GE1783_0037	1
GE1783_0038	1
GE1783_0039	2
GE1783_0040	0
GE1783_0041	2
GE1783_0042	0
GE1783_0043	1
GE1783_0044	2
GE1783_0045	2
GE1783_0046	1
GE1783_0047	1
GE1783_0048	2
GE1783_0049	2
GE1783_0050	NA
GE1783_0051	0
GE1783_0052	1
GE1783_0053	1
GE1783_0054	2
GE1783_0055	2
GE1783_0056	0
GE1783_0057	1
GE1783_0058	1
GE1783_0059	2
GE1783_0060	2
GE1783_0061	2
GE1783_0062	1
GE1783_0063	2
GE1783_0064	1
GE1783_0066	2
GE1783_0067	1
GE1783_0068	1
GE1783_0069	0
GE1783_0070	2
GE1783_0071	2
GE1783_0072	1
GE1783_0073	1
GE1783_0074	2
GE1783_0075	1
GE1783_0076	2
GE1783_0077	2
GE1783_0078	2
GE1783_0079	NA
GE1783_0080	2
GE1783_0081	1
GE1783_0082	NA
GE1783_0083	1
GE1783_0084	1
GE1783_0085	2
GE1783_0086	2
GE1783_0087	2
GE1783_0088	2
GE1783_0089	2
GE1783_0090	2
GE1783_0091	1
GE1783_0092	1
GE1783_0093	1
GE1783_0094	0
GE1783_0095	1
GE1783_0096	NA
GE1783_0097	2
GE1783_0098	2
GE1783_0099	2
GE1783_0100	2
GE1783_0101	1
GE1783_0102	1
GE1783_0103	2
GE1783_0104	1
GE1783_0105	2
GE1783_0106	NA
GE1783_0107	1
GE1783_0108	1
GE1783_0109	1
GE1783_0110	1
GE1783_0111	1
GE1783_0112	1
GE1783_0113	2
GE1783_0114	2
GE1783_0115	0
GE1783_0116	1
GE1783_0117	2
GE1783_0119	2
GE1783_0120	1
GE1783_0121	1
GE1783_0122	1
GE1783_0123	1
GE1783_0124	0
GE1783_0125	2
GE1783_0126	1
GE1783_0127	2
GE1783_0128	NA
GE1783_0130	2
GE1783_0131	1
GE1783_0132	0
GE1783_0133	2
GE1783_0134	2
GE1783_0135	0
GE1783_0136	1
GE1783_0137	1
GE1783_0140	2
GE1783_0141	0
GE1783_0142	2
GE1783_0144	0
GE1783_0145	1
GE1783_0146	2
GE1783_0147	1
GE1783_0148	1
GE1783_0149	1
