Genotype_Vine_ID,assigned_vine_id,rgb_r_mean,rgb_r_std,rgb_r_min,rgb_r_max,rgb_r_median,rgb_r_p5,rgb_r_p25,rgb_r_p75,rgb_r_p95,rgb_g_mean,rgb_g_std,rgb_g_min,rgb_g_max,rgb_g_median,rgb_g_p5,rgb_g_p25,rgb_g_p75,rgb_g_p95,rgb_b_mean,rgb_b_std,rgb_b_min,rgb_b_max,rgb_b_median,rgb_b_p5,rgb_b_p25,rgb_b_p75,rgb_b_p95,hsv_h_mean,hsv_h_std,hsv_h_min,hsv_h_max,hsv_h_median,hsv_h_p5,hsv_h_p25,hsv_h_p75,hsv_h_p95,hsv_s_mean,hsv_s_std,hsv_s_min,hsv_s_max,hsv_s_median,hsv_s_p5,hsv_s_p25,hsv_s_p75,hsv_s_p95,hsv_v_mean,hsv_v_std,hsv_v_min,hsv_v_max,hsv_v_median,hsv_v_p5,hsv_v_p25,hsv_v_p75,hsv_v_p95,lab_l_mean,lab_l_std,lab_l_min,lab_l_max,lab_l_median,lab_l_p5,lab_l_p25,lab_l_p75,lab_l_p95,lab_a_mean,lab_a_std,lab_a_min,lab_a_max,lab_a_median,lab_a_p5,lab_a_p25,lab_a_p75,lab_a_p95,lab_b_mean,lab_b_std,lab_b_min,lab_b_max,lab_b_median,lab_b_p5,lab_b_p25,lab_b_p75,lab_b_p95,instance_count,n_side_instance_count,s_side_instance_count
GE1783_0001,row_1_1,67.1374934060233,20.70487805775233,15.214285714285714,166.57142857142858,67.07142857142857,34.778571428571425,53.07142857142857,80.92857142857143,97.79285714285712,77.96992765154157,23.03206832068307,18.214285714285715,171.5,78.5,40.99285714285714,62.35714285714285,94.26785714285714,112.42142857142856,40.71612358093262,13.244934388569424,8.642857142857142,100.35714285714286,40.71428571428572,19.714285714285715,31.392857142857142,50.267857142857146,60.29642857142856,39.10729054042271,3.3416591371808733,23.428571428571427,51.71428571428572,39.5,33.46071428571428,37.42857142857143,41.07142857142857,43.58928571428572,121.08220672607422,11.725232192448209,82.07142857142857,161.28571428571428,119.85714285714286,104.43571428571428,113.14285714285714,128.01785714285714,142.5,78.05357551574707,23.08159508023943,18.214285714285715,171.78571428571428,78.57142857142857,41.021428571428565,62.35714285714285,94.5,112.5785714285714,78.28443581717355,23.81483507156372,13.785714285714286,171.78571428571428,79.28571428571429,38.75,62.46428571428572,95.30357142857144,113.12142857142857,116.9236341203962,3.0988597444125583,107.85714285714286,128.71428571428572,116.85714285714286,112.21428571428572,114.78571428571428,118.85714285714286,122.21428571428572,148.00877598353796,5.063183597155979,131.57142857142858,168.35714285714286,148.21428571428572,139.85714285714286,144.92857142857142,151.35714285714286,155.62142857142857,14.0,4.0,10.0
GE1783_0002,row_1_2,56.71630935668945,15.04606990814209,12.1,156.2,56.5,33.255,47.2,65.775,80.05499999999998,64.65884399414062,17.796868801116943,13.5,171.6,64.7,37.205,52.3,76.475,92.4,33.98127155303955,9.01270604133606,6.7,92.5,34.5,18.555,28.3,40.2,47.1,37.49347953796386,4.408761811256409,18.6,51.5,38.3,29.3,35.0,40.6,43.0,120.74869689941406,13.951848697662353,67.1,167.9,121.1,96.7,112.2,129.6,142.83499999999998,65.10858001708985,17.578448963165282,13.6,171.6,65.2,38.1,53.0,76.6,92.5,65.5608959197998,18.827810096740723,9.3,171.3,66.2,35.8,52.8,78.1,94.245,118.92517471313477,3.469299817085266,106.2,130.7,118.7,113.9,116.5,121.5,124.8,145.36919403076172,4.901208853721618,130.2,172.5,145.4,137.82999999999998,142.325,148.2,153.115,10.0,2.0,8.0
GE1783_0003,row_1_3,56.24917602539063,19.89930302756173,13.857142857142858,191.0,54.285714285714285,29.892857142857142,44.035714285714285,65.42857142857143,88.60714285714286,61.5450553894043,21.81232697623117,16.285714285714285,201.42857142857144,59.42857142857143,32.00714285714286,47.17857142857143,73.42857142857143,97.16428571428573,31.68838827950614,10.85191570009504,7.714285714285714,113.28571428571428,31.571428571428573,16.142857142857142,24.714285714285715,37.85714285714285,47.75714285714285,35.27208546229771,5.599889550890241,17.571428571428573,62.42857142857143,36.0,25.428571428571427,31.714285714285715,39.42857142857143,42.57142857142857,124.74047088623048,15.430677141462054,63.85714285714285,172.42857142857142,124.57142857142856,98.95714285714288,115.03571428571428,135.07142857142858,150.0,62.85103171212332,21.883328710283557,16.428571428571427,201.42857142857144,60.285714285714285,33.43571428571429,48.75,74.42857142857143,98.87857142857143,62.57024329049246,22.98793397630964,12.428571428571429,199.7142857142857,60.85714285714285,30.142857142857142,47.42857142857143,75.0,99.90714285714284,120.3276160103934,4.23472387450082,105.71428571428572,134.57142857142858,120.42857142857144,114.0,117.42857142857144,123.0,127.4785714285714,145.28829520089286,5.947750057492938,130.57142857142858,173.57142857142858,144.71428571428572,136.71428571428572,141.57142857142858,148.42857142857142,155.71428571428572,7.0,2.0,5.0
GE1783_0004,row_1_4,67.94408480326335,18.001206175486246,22.433333333333334,178.56666666666666,67.13333333333334,41.63,56.05833333333333,78.36666666666666,95.60166666666666,73.57485809326172,19.053026739756262,23.466666666666665,183.7,73.1,44.906666666666666,60.86666666666667,85.7,102.39166666666664,38.02654450734456,10.932668860753378,11.433333333333334,112.5,37.93333333333333,21.46833333333333,30.45833333333333,45.266666666666666,53.813333333333325,34.88728580474854,4.749167442321777,19.633333333333333,56.9,35.13333333333333,27.261666666666667,32.03333333333333,37.975,41.333333333333336,122.91458460489908,13.541217597325645,72.03333333333333,165.9,121.58333333333331,103.69666666666669,113.96666666666668,131.15833333333333,146.77166666666665,74.32303632100424,19.07688315709432,24.3,185.53333333333333,73.76666666666667,45.93333333333333,61.55,86.13333333333334,102.98166666666664,75.69140268961588,20.120801321665446,20.2,183.7,75.53333333333333,44.63666666666666,62.4,88.65833333333333,105.98,119.43541208902997,3.006744376818339,107.16666666666669,130.9,119.4,115.00833333333334,117.58333333333331,121.2,124.46666666666668,148.1116948445638,4.646857142448425,132.36666666666667,169.76666666666668,148.0,141.035,145.5,150.70833333333334,155.49166666666667,30.0,12.0,18.0
GE1783_0005,row_1_5,57.6897577988474,16.85610956894724,20.31578947368421,170.78947368421052,56.6578947368421,34.0921052631579,46.1578947368421,67.36842105263158,84.23947368421052,61.8773365020752,18.17507999821713,20.94736842105263,174.78947368421052,60.92105263157895,35.85,49.31578947368421,72.52631578947368,90.79736842105262,36.0409406360827,10.987792667589687,10.31578947368421,103.0,36.36842105263158,19.210526315789476,28.05263157894737,43.38157894736842,52.30263157894737,34.776283163773385,5.550521913327668,16.42105263157895,58.8421052631579,35.0,25.539473684210527,30.94736842105263,38.47368421052632,42.93421052631579,103.27347163150183,17.3125225368299,55.578947368421055,163.10526315789474,100.23684210526316,80.38421052631578,91.19736842105264,112.78947368421052,136.85263157894735,62.584700433831465,18.1594651874743,21.94736842105263,176.26315789473685,61.526315789473685,36.74473684210526,50.0,73.25,91.52105263157894,63.02893337450529,19.404206376326712,18.473684210526315,175.57894736842104,62.18421052631579,34.47105263157895,49.26315789473684,74.8157894736842,93.4342105263158,121.52648002222963,2.8406833473004798,108.57894736842104,130.73684210526315,121.78947368421052,116.78947368421052,120.0,123.21052631578948,125.78947368421052,142.79868678042763,4.521077118421856,132.42105263157896,168.68421052631578,142.21052631578948,136.88684210526316,139.8421052631579,145.0,150.80526315789476,19.0,10.0,9.0
GE1783_0006,row_1_6,55.65217781066895,19.31284046173096,12.5,196.5,53.0,32.5,43.5,64.0,91.75,57.04636764526367,18.57537174224853,13.0,205.5,55.0,32.25,45.0,66.5,86.25,37.004530906677246,10.687807083129885,7.5,109.0,37.5,19.0,30.0,44.5,53.5,33.487966537475586,7.422395467758179,13.0,72.0,34.0,21.0,28.0,39.0,44.0,92.0955810546875,28.139259338378903,31.5,179.0,83.0,61.0,71.5,108.5,148.25,58.73104476928711,20.107081413269043,13.5,205.5,56.5,34.0,46.0,67.5,97.0,58.67911720275879,20.294123649597168,9.0,203.5,57.5,30.5,45.5,69.0,92.5,123.64487838745116,3.3460679054260254,103.0,140.5,124.0,119.0,122.0,125.5,128.5,139.9704818725586,6.3704469203948975,128.5,179.5,138.5,134.0,136.0,141.5,155.0,2.0,1.0,1.0
GE1783_0007,row_1_7,46.12962668282645,21.258983612060547,13.571428571428571,205.28571428571428,42.285714285714285,20.714285714285715,31.714285714285715,56.85714285714285,79.95714285714283,49.22883442470005,22.499032156808035,15.428571428571429,204.28571428571428,45.42857142857143,21.571428571428573,33.25,62.07142857142857,84.96428571428571,32.48044804164341,15.354017666407994,8.142857142857142,132.28571428571428,30.285714285714285,12.907142857142858,20.714285714285715,41.92857142857143,58.142857142857146,36.049506596156526,8.332310199737549,15.142857142857142,68.28571428571429,36.285714285714285,22.714285714285715,30.571428571428573,41.0,48.85714285714285,90.90610831124442,20.096032415117534,44.285714285714285,162.0,87.14285714285714,64.01428571428572,77.32142857142857,101.42857142857144,130.3857142857143,49.989170619419646,22.745027133396693,15.428571428571429,208.14285714285717,45.92857142857143,22.092857142857145,34.142857142857146,62.75,85.95,49.29816327776228,24.672542572021484,11.142857142857142,204.28571428571428,45.85714285714285,17.428571428571427,31.535714285714285,64.10714285714286,88.9285714285714,123.34644099644252,3.023226465497698,106.85714285714286,133.0,123.57142857142856,118.71428571428572,121.28571428571428,125.42857142857144,127.71428571428572,137.86424909319197,4.856352124895368,130.0,168.57142857142858,136.85714285714286,131.85714285714286,134.85714285714286,139.42857142857142,146.1357142857143,7.0,4.0,3.0
GE1783_0008,row_1_8,34.53319072723389,27.09165382385254,8.0,252.5,27.0,13.0,18.5,41.5,81.10000000000002,37.35321426391602,28.229625701904297,8.5,255.0,29.0,14.0,19.5,45.5,87.0,22.61046838760376,17.33903694152832,4.5,223.0,18.0,8.0,12.0,29.0,48.0,37.08535194396973,7.357059240341187,7.5,67.5,37.5,24.5,31.0,42.5,48.5,97.01088333129884,24.422191619873047,14.0,170.5,92.5,63.5,78.5,112.0,141.0,37.82958221435547,28.871535301208503,8.5,255.0,30.0,14.0,20.0,46.0,89.5,35.633286476135254,29.815309524536133,5.5,253.0,27.0,10.5,16.5,44.5,89.10000000000002,124.03868865966795,3.4289371967315674,102.5,138.5,124.5,117.5,123.0,126.5,127.5,136.2345962524414,6.7976722717285165,128.0,176.5,134.0,130.5,132.5,137.5,151.5,2.0,0.0,2.0
GE1783_0009,row_1_10,73.66496849060059,22.226951054164346,20.285714285714285,193.64285714285717,72.35714285714286,41.146428571428565,58.160714285714285,86.625,111.67857142857144,81.9716249193464,25.011618750435964,22.5,199.8571428571429,80.78571428571429,44.66428571428571,64.28571428571429,97.28571428571428,124.25357142857142,41.31882422310965,13.113487788609095,10.357142857142858,125.92857142857144,41.0,21.62857142857143,32.089285714285715,49.57142857142857,62.021428571428565,35.48317745753697,4.583580527986799,18.071428571428573,52.0,35.892857142857146,27.45,32.785714285714285,38.642857142857146,41.85714285714285,123.83334568568638,16.504013299942017,66.07142857142857,169.14285714285714,124.21428571428572,98.31785714285716,111.375,135.0,150.55357142857142,82.63606125967843,24.90765803200858,22.5,201.14285714285717,81.5,45.51428571428572,65.07142857142857,98.07142857142856,124.5892857142857,83.57236644199916,25.671067101614817,18.857142857142858,199.28571428571428,83.07142857142857,44.08928571428572,65.44642857142857,99.57142857142856,126.26785714285714,117.71751621791294,3.991206799234663,105.21428571428572,131.71428571428572,117.5,111.28571428571428,115.07142857142856,120.28571428571428,124.28571428571428,150.11680930001395,6.383355549403599,133.35714285714286,174.5,149.78571428571428,140.60357142857143,145.5,154.28571428571428,160.87142857142857,14.0,3.0,11.0
GE1783_0010,row_1_9,62.82138252258301,18.328397154808044,20.625,171.5,60.375,36.98125,51.25,72.5,94.79374999999996,66.55198621749878,20.410260915756226,22.0,174.375,64.1875,37.75625,53.125,78.25,101.79374999999996,36.8596978187561,11.600384771823885,11.0,111.875,36.25,19.75,29.125,44.0,55.5,32.999202728271484,5.909512102603912,15.25,54.875,33.375,23.375,28.75,37.5,41.9125,111.69140720367432,18.792378664016724,61.875,167.125,109.25,84.5875,97.75,125.25,144.6375,68.09862804412842,20.295924305915836,22.875,175.125,65.5,39.4625,54.875,79.375,103.9125,68.12718391418457,21.32144927978516,19.0,175.25,65.875,36.75,54.375,80.75,105.0125,121.29629516601562,3.71848064661026,108.375,132.75,121.25,115.125,119.0,123.625,127.0,144.97576713562012,5.185548186302185,133.25,167.0,144.25,138.25,141.375,148.0,154.75,8.0,3.0,5.0
