Frame ID,Computer Time,ros time,Chunk Frame ID,Chunk Time,Latitude,Longitude
1,2025-08-11-09-38-00-247,1754923080,1,8.60069E+11,44.86781503,-93.63244428
2,2025-08-11-09-38-00-384,1754923080,2,8.60576E+11,44.86781504,-93.63244427
3,2025-08-11-09-38-00-960,1754923081,3,8.61082E+11,44.86781506,-93.63244423
4,2025-08-11-09-38-01-468,1754923081,4,8.61589E+11,44.86781507,-93.63244425
5,2025-08-11-09-38-01-964,1754923082,5,8.62095E+11,44.86781507,-93.63244424
6,2025-08-11-09-38-02-472,1754923082,6,8.62602E+11,44.86781505,-93.63244426
7,2025-08-11-09-38-02-977,1754923083,7,8.63108E+11,44.86781507,-93.63244427
8,2025-08-11-09-38-03-493,1754923083,8,8.63615E+11,44.86781508,-93.63244426
9,2025-08-11-09-38-04-001,1754923084,9,8.64121E+11,44.86781506,-93.63244426
10,2025-08-11-09-38-04-498,1754923084,10,8.64628E+11,44.86781508,-93.63244425
11,2025-08-11-09-38-05-010,1754923085,11,8.65135E+11,44.86781508,-93.63244425
12,2025-08-11-09-38-05-509,1754923086,12,8.65641E+11,44.86781507,-93.63244424
13,2025-08-11-09-38-06-018,1754923086,13,8.66148E+11,44.86781505,-93.63244425
14,2025-08-11-09-38-06-526,1754923087,14,8.66654E+11,44.86781506,-93.63244425
15,2025-08-11-09-38-07-028,1754923087,15,8.67161E+11,44.86781506,-93.63244425
16,2025-08-11-09-38-07-541,1754923088,16,8.67668E+11,44.86781506,-93.63244424
17,2025-08-11-09-38-08-046,1754923088,17,8.68174E+11,44.86781508,-93.63244425
18,2025-08-11-09-38-08-552,1754923089,18,8.68681E+11,44.86781506,-93.63244427
19,2025-08-11-09-38-09-056,1754923089,19,8.69187E+11,44.86781507,-93.63244427
20,2025-08-11-09-38-09-560,1754923090,20,8.69694E+11,44.86781507,-93.63244427
21,2025-08-11-09-38-10-069,1754923090,21,8.702E+11,44.86781507,-93.63244424
22,2025-08-11-09-38-10-574,1754923091,22,8.70707E+11,44.86781507,-93.63244425
23,2025-08-11-09-38-11-081,1754923091,23,8.71214E+11,44.86781506,-93.63244427
24,2025-08-11-09-38-11-590,1754923092,24,8.7172E+11,44.86781506,-93.63244427
25,2025-08-11-09-38-12-097,1754923092,25,8.72227E+11,44.86781507,-93.63244422
26,2025-08-11-09-38-12-602,1754923093,26,8.72733E+11,44.86781507,-93.63244422
27,2025-08-11-09-38-13-108,1754923093,27,8.7324E+11,44.86781505,-93.63244425
28,2025-08-11-09-38-13-611,1754923094,28,8.73746E+11,44.86781506,-93.63244426
29,2025-08-11-09-38-14-119,1754923094,29,8.74253E+11,44.86781508,-93.63244426
30,2025-08-11-09-38-14-627,1754923095,30,8.74759E+11,44.86781508,-93.63244428
31,2025-08-11-09-38-15-133,1754923095,31,8.75266E+11,44.86781506,-93.63244426
32,2025-08-11-09-38-15-640,1754923096,32,8.75773E+11,44.86781508,-93.63244427
33,2025-08-11-09-38-16-148,1754923096,33,8.76279E+11,44.86781508,-93.63244428
34,2025-08-11-09-38-16-653,1754923097,34,8.76786E+11,44.86781508,-93.63244428
35,2025-08-11-09-38-17-160,1754923097,35,8.77292E+11,44.86781506,-93.63244425
36,2025-08-11-09-38-17-667,1754923098,36,8.77799E+11,44.86781508,-93.63244426
37,2025-08-11-09-38-18-173,1754923098,37,8.78305E+11,44.86781506,-93.63244426
38,2025-08-11-09-38-18-678,1754923099,38,8.78812E+11,44.86781507,-93.63244424
39,2025-08-11-09-38-19-186,1754923099,39,8.79318E+11,44.86781516,-93.63244419
40,2025-08-11-09-38-19-693,1754923100,40,8.79825E+11,44.86781517,-93.63244423
41,2025-08-11-09-38-20-197,1754923100,41,8.80331E+11,44.86781517,-93.63244418
42,2025-08-11-09-38-20-709,1754923101,42,8.80838E+11,44.86781516,-93.63244418
43,2025-08-11-09-38-21-211,1754923101,43,8.81345E+11,44.86781515,-93.63244421
44,2025-08-11-09-38-21-717,1754923102,44,8.81851E+11,44.86781515,-93.63244421
45,2025-08-11-09-38-22-226,1754923102,45,8.82358E+11,44.86781514,-93.63244421
46,2025-08-11-09-38-22-731,1754923103,46,8.82864E+11,44.86781516,-93.63244419
47,2025-08-11-09-38-23-238,1754923103,47,8.83371E+11,44.86781516,-93.63244417
48,2025-08-11-09-38-23-747,1754923104,48,8.83878E+11,44.86781519,-93.63244414
49,2025-08-11-09-38-24-251,1754923104,49,8.84384E+11,44.86781517,-93.63244416
50,2025-08-11-09-38-24-758,1754923105,50,8.84891E+11,44.86781516,-93.63244412
51,2025-08-11-09-38-25-264,1754923105,51,8.85397E+11,44.86781517,-93.63244411
52,2025-08-11-09-38-25-773,1754923106,52,8.85904E+11,44.8678152,-93.63244397
53,2025-08-11-09-38-26-278,1754923106,53,8.86411E+11,44.86781522,-93.63244369
54,2025-08-11-09-38-26-785,1754923107,54,8.86917E+11,44.86781528,-93.63244151
55,2025-08-11-09-38-27-290,1754923107,55,8.87424E+11,44.86781524,-93.63243833
56,2025-08-11-09-38-27-798,1754923108,56,8.8793E+11,44.86781535,-93.63243508
57,2025-08-11-09-38-28-305,1754923108,57,8.88437E+11,44.86781545,-93.63243177
58,2025-08-11-09-38-28-810,1754923109,58,8.88944E+11,44.86781554,-93.63242796
59,2025-08-11-09-38-29-321,1754923109,59,8.8945E+11,44.86781555,-93.63242292
60,2025-08-11-09-38-29-824,1754923110,60,8.89957E+11,44.86781557,-93.63241856
61,2025-08-11-09-38-30-331,1754923110,61,8.90463E+11,44.86781548,-93.6324134
62,2025-08-11-09-38-30-838,1754923111,62,8.9097E+11,44.86781545,-93.63240803
63,2025-08-11-09-38-31-345,1754923111,63,8.91477E+11,44.86781566,-93.6324024
64,2025-08-11-09-38-31-851,1754923112,64,8.91983E+11,44.86781568,-93.63239663
65,2025-08-11-09-38-32-356,1754923112,65,8.9249E+11,44.86781572,-93.63239099
66,2025-08-11-09-38-32-864,1754923113,66,8.92996E+11,44.86781584,-93.63238562
67,2025-08-11-09-38-33-370,1754923113,67,8.93503E+11,44.8678159,-93.63238058
68,2025-08-11-09-38-33-878,1754923114,68,8.94009E+11,44.86781601,-93.63237575
69,2025-08-11-09-38-34-382,1754923114,69,8.94516E+11,44.86781589,-93.63237145
70,2025-08-11-09-38-34-889,1754923115,70,8.95023E+11,44.86781594,-93.63236763
71,2025-08-11-09-38-35-397,1754923115,71,8.95529E+11,44.86781588,-93.63236423
72,2025-08-11-09-38-35-903,1754923116,72,8.96036E+11,44.86781587,-93.6323609
73,2025-08-11-09-38-36-409,1754923116,73,8.96542E+11,44.86781599,-93.63235754
74,2025-08-11-09-38-36-916,1754923117,74,8.97049E+11,44.8678159,-93.63235369
75,2025-08-11-09-38-37-423,1754923117,75,8.97556E+11,44.86781593,-93.63235024
76,2025-08-11-09-38-37-929,1754923118,76,8.98062E+11,44.86781589,-93.63234613
77,2025-08-11-09-38-38-437,1754923118,77,8.98569E+11,44.86781598,-93.63234172
78,2025-08-11-09-38-38-943,1754923119,78,8.99076E+11,44.86781584,-93.63233697
79,2025-08-11-09-38-39-449,1754923119,79,8.99582E+11,44.86781593,-93.63233212
80,2025-08-11-09-38-39-957,1754923120,80,9.00089E+11,44.86781592,-93.63232672
81,2025-08-11-09-38-40-462,1754923120,81,9.00595E+11,44.86781603,-93.63232095
82,2025-08-11-09-38-40-968,1754923121,82,9.01102E+11,44.8678162,-93.63231527
83,2025-08-11-09-38-41-476,1754923121,83,9.01609E+11,44.86781624,-93.63230998
84,2025-08-11-09-38-41-983,1754923122,84,9.02115E+11,44.86781627,-93.63230547
85,2025-08-11-09-38-42-492,1754923122,85,9.02622E+11,44.86781629,-93.63230143
86,2025-08-11-09-38-42-996,1754923123,86,9.03129E+11,44.86781621,-93.63229816
87,2025-08-11-09-38-43-504,1754923124,87,9.03635E+11,44.86781619,-93.63229533
88,2025-08-11-09-38-44-008,1754923124,88,9.04142E+11,44.86781609,-93.63229265
89,2025-08-11-09-38-44-516,1754923125,89,9.04648E+11,44.8678162,-93.63229016
90,2025-08-11-09-38-45-021,1754923125,90,9.05155E+11,44.86781612,-93.6322885
91,2025-08-11-09-38-45-528,1754923126,91,9.05662E+11,44.86781605,-93.63228744
92,2025-08-11-09-38-46-036,1754923126,92,9.06168E+11,44.86781602,-93.63228684
93,2025-08-11-09-38-46-542,1754923127,93,9.06675E+11,44.867816,-93.63228647
94,2025-08-11-09-38-47-048,1754923127,94,9.07181E+11,44.86781602,-93.63228569
95,2025-08-11-09-38-47-555,1754923128,95,9.07688E+11,44.86781596,-93.63228353
96,2025-08-11-09-38-48-061,1754923128,96,9.08195E+11,44.86781596,-93.63228052
97,2025-08-11-09-38-48-569,1754923129,97,9.08701E+11,44.86781585,-93.63227728
98,2025-08-11-09-38-49-073,1754923129,98,9.09208E+11,44.86781582,-93.63227375
99,2025-08-11-09-38-49-581,1754923130,99,9.09714E+11,44.86781564,-93.63226991
100,2025-08-11-09-38-50-088,1754923130,100,9.10221E+11,44.86781555,-93.6322656
101,2025-08-11-09-38-50-595,1754923131,101,9.10728E+11,44.86781556,-93.63226073
102,2025-08-11-09-38-51-102,1754923131,102,9.11234E+11,44.86781558,-93.63225522
103,2025-08-11-09-38-51-608,1754923132,103,9.11741E+11,44.86781537,-93.63224922
104,2025-08-11-09-38-52-116,1754923132,104,9.12248E+11,44.86781541,-93.6322429
105,2025-08-11-09-38-52-622,1754923133,105,9.12754E+11,44.86781533,-93.6322349
106,2025-08-11-09-38-53-126,1754923133,106,9.13261E+11,44.86781529,-93.63222953
107,2025-08-11-09-38-53-636,1754923134,107,9.13767E+11,44.86781515,-93.63222206
108,2025-08-11-09-38-54-137,1754923134,108,9.14274E+11,44.86781523,-93.63221691
109,2025-08-11-09-38-54-648,1754923135,109,9.1478E+11,44.86781497,-93.63221246
110,2025-08-11-09-38-55-155,1754923135,110,9.15287E+11,44.86781544,-93.63220834
111,2025-08-11-09-38-55-660,1754923136,111,9.15794E+11,44.86781541,-93.63220491
112,2025-08-11-09-38-56-167,1754923136,112,9.163E+11,44.86781525,-93.6322014
113,2025-08-11-09-38-56-674,1754923137,113,9.16807E+11,44.86781511,-93.63219791
114,2025-08-11-09-38-57-179,1754923137,114,9.17313E+11,44.86781519,-93.63219443
115,2025-08-11-09-38-57-686,1754923138,115,9.1782E+11,44.86781499,-93.63219081
116,2025-08-11-09-38-58-194,1754923138,116,9.18327E+11,44.86781514,-93.63218668
117,2025-08-11-09-38-58-700,1754923139,117,9.18833E+11,44.86781509,-93.63218181
118,2025-08-11-09-38-59-207,1754923139,118,9.1934E+11,44.86781519,-93.63217674
119,2025-08-11-09-38-59-712,1754923140,119,9.19846E+11,44.86781495,-93.63217034
120,2025-08-11-09-39-00-219,1754923140,120,9.20353E+11,44.86781519,-93.632165
121,2025-08-11-09-39-00-728,1754923141,121,9.2086E+11,44.867815,-93.6321599
122,2025-08-11-09-39-01-233,1754923141,122,9.21366E+11,44.86781521,-93.6321548
123,2025-08-11-09-39-01-740,1754923142,123,9.21873E+11,44.86781521,-93.63214972
124,2025-08-11-09-39-02-246,1754923142,124,9.22379E+11,44.86781509,-93.63214502
125,2025-08-11-09-39-02-753,1754923143,125,9.22886E+11,44.86781525,-93.63214008
126,2025-08-11-09-39-03-259,1754923143,126,9.23393E+11,44.86781527,-93.63213509
127,2025-08-11-09-39-03-765,1754923144,127,9.23899E+11,44.86781521,-93.63213004
128,2025-08-11-09-39-04-274,1754923144,128,9.24406E+11,44.86781537,-93.63212469
129,2025-08-11-09-39-04-779,1754923145,129,9.24913E+11,44.86781529,-93.63211894
130,2025-08-11-09-39-05-287,1754923145,130,9.25419E+11,44.86781523,-93.63211333
131,2025-08-11-09-39-05-793,1754923146,131,9.25926E+11,44.86781514,-93.63210776
132,2025-08-11-09-39-06-300,1754923146,132,9.26432E+11,44.86781525,-93.6321022
133,2025-08-11-09-39-06-807,1754923147,133,9.26939E+11,44.8678151,-93.63209649
134,2025-08-11-09-39-07-312,1754923147,134,9.27446E+11,44.86781489,-93.63208952
135,2025-08-11-09-39-07-819,1754923148,135,9.27952E+11,44.86781514,-93.63208365
136,2025-08-11-09-39-08-326,1754923148,136,9.28459E+11,44.86781511,-93.63207785
137,2025-08-11-09-39-08-832,1754923149,137,9.28966E+11,44.86781527,-93.63207216
138,2025-08-11-09-39-09-338,1754923149,138,9.29472E+11,44.86781513,-93.63206654
139,2025-08-11-09-39-09-845,1754923150,139,9.29979E+11,44.86781515,-93.63206099
140,2025-08-11-09-39-10-352,1754923150,140,9.30485E+11,44.86781533,-93.6320553
141,2025-08-11-09-39-10-858,1754923151,141,9.30992E+11,44.86781509,-93.63204972
142,2025-08-11-09-39-11-365,1754923151,142,9.31499E+11,44.86781518,-93.63204413
143,2025-08-11-09-39-11-872,1754923152,143,9.32005E+11,44.86781503,-93.63203848
144,2025-08-11-09-39-12-378,1754923152,144,9.32512E+11,44.86781506,-93.63203271
145,2025-08-11-09-39-12-885,1754923153,145,9.33019E+11,44.86781502,-93.63202688
146,2025-08-11-09-39-13-391,1754923153,146,9.33525E+11,44.86781488,-93.63202089
147,2025-08-11-09-39-13-899,1754923154,147,9.34032E+11,44.86781487,-93.63201457
148,2025-08-11-09-39-14-405,1754923154,148,9.34538E+11,44.8678149,-93.63200855
149,2025-08-11-09-39-14-912,1754923155,149,9.35045E+11,44.86781494,-93.63200146
150,2025-08-11-09-39-15-418,1754923155,150,9.35552E+11,44.86781492,-93.63199552
151,2025-08-11-09-39-15-926,1754923156,151,9.36058E+11,44.86781505,-93.63198935
152,2025-08-11-09-39-16-432,1754923156,152,9.36565E+11,44.86781519,-93.63198301
153,2025-08-11-09-39-16-938,1754923157,153,9.37072E+11,44.86781525,-93.63197657
154,2025-08-11-09-39-17-449,1754923157,154,9.37578E+11,44.86781531,-93.6319704
155,2025-08-11-09-39-17-957,1754923158,155,9.38085E+11,44.86781536,-93.63196398
156,2025-08-11-09-39-18-457,1754923158,156,9.38591E+11,44.86781534,-93.63195765
157,2025-08-11-09-39-18-965,1754923159,157,9.39098E+11,44.8678155,-93.63195134
158,2025-08-11-09-39-19-471,1754923159,158,9.39605E+11,44.86781543,-93.63194546
159,2025-08-11-09-39-19-979,1754923160,159,9.40111E+11,44.86781528,-93.63194035
160,2025-08-11-09-39-20-485,1754923160,160,9.40618E+11,44.86781515,-93.63193576
161,2025-08-11-09-39-20-995,1754923161,161,9.41124E+11,44.86781538,-93.6319316
162,2025-08-11-09-39-21-497,1754923161,162,9.41631E+11,44.86781533,-93.63192742
163,2025-08-11-09-39-22-008,1754923162,163,9.42138E+11,44.86781518,-93.63192289
164,2025-08-11-09-39-22-510,1754923163,164,9.42644E+11,44.86781516,-93.63191749
165,2025-08-11-09-39-23-020,1754923163,165,9.43151E+11,44.86781495,-93.63191289
166,2025-08-11-09-39-23-528,1754923164,166,9.43657E+11,44.86781495,-93.63190819
167,2025-08-11-09-39-24-035,1754923164,167,9.44164E+11,44.86781482,-93.63190318
168,2025-08-11-09-39-24-537,1754923165,168,9.44671E+11,44.86781496,-93.63189723
169,2025-08-11-09-39-25-043,1754923165,169,9.45177E+11,44.86781483,-93.63189124
170,2025-08-11-09-39-25-552,1754923166,170,9.45684E+11,44.86781516,-93.63188486
171,2025-08-11-09-39-26-058,1754923166,171,9.46191E+11,44.86781511,-93.63187901
172,2025-08-11-09-39-26-563,1754923167,172,9.46697E+11,44.86781484,-93.63187357
173,2025-08-11-09-39-27-070,1754923167,173,9.47204E+11,44.86781513,-93.6318678
174,2025-08-11-09-39-27-577,1754923168,174,9.47711E+11,44.86781489,-93.63186238
175,2025-08-11-09-39-28-085,1754923168,175,9.48217E+11,44.86781523,-93.63185705
176,2025-08-11-09-39-28-591,1754923169,176,9.48724E+11,44.86781511,-93.63185235
177,2025-08-11-09-39-29-096,1754923169,177,9.49231E+11,44.86781506,-93.63184736
178,2025-08-11-09-39-29-605,1754923170,178,9.49737E+11,44.86781523,-93.63184223
179,2025-08-11-09-39-30-110,1754923170,179,9.50244E+11,44.86781536,-93.63183646
180,2025-08-11-09-39-30-619,1754923171,180,9.5075E+11,44.86781522,-93.63182941
181,2025-08-11-09-39-31-124,1754923171,181,9.51257E+11,44.86781504,-93.63182377
182,2025-08-11-09-39-31-632,1754923172,182,9.51764E+11,44.86781538,-93.63181812
183,2025-08-11-09-39-32-135,1754923172,183,9.5227E+11,44.86781536,-93.63181225
184,2025-08-11-09-39-32-649,1754923173,184,9.52777E+11,44.86781546,-93.63180615
185,2025-08-11-09-39-33-150,1754923173,185,9.53283E+11,44.86781524,-93.63180007
186,2025-08-11-09-39-33-657,1754923174,186,9.5379E+11,44.86781535,-93.63179396
187,2025-08-11-09-39-34-164,1754923174,187,9.54297E+11,44.86781541,-93.63178803
188,2025-08-11-09-39-34-669,1754923175,188,9.54803E+11,44.86781535,-93.63178194
189,2025-08-11-09-39-35-176,1754923175,189,9.5531E+11,44.86781534,-93.63177604
190,2025-08-11-09-39-35-684,1754923176,190,9.55817E+11,44.86781522,-93.63177037
191,2025-08-11-09-39-36-190,1754923176,191,9.56323E+11,44.86781529,-93.63176476
192,2025-08-11-09-39-36-697,1754923177,192,9.5683E+11,44.86781507,-93.63175961
193,2025-08-11-09-39-37-203,1754923177,193,9.57336E+11,44.86781502,-93.63175445
194,2025-08-11-09-39-37-710,1754923178,194,9.57843E+11,44.86781498,-93.6317477
195,2025-08-11-09-39-38-216,1754923178,195,9.5835E+11,44.86781481,-93.63174125
196,2025-08-11-09-39-38-722,1754923179,196,9.58856E+11,44.86781457,-93.63173422
197,2025-08-11-09-39-39-233,1754923179,197,9.59363E+11,44.86781446,-93.63172683
198,2025-08-11-09-39-39-736,1754923180,198,9.59869E+11,44.8678144,-93.63171969
199,2025-08-11-09-39-40-244,1754923180,199,9.60376E+11,44.86781413,-93.63171258
200,2025-08-11-09-39-40-749,1754923181,200,9.60883E+11,44.86781412,-93.63170569
201,2025-08-11-09-39-41-260,1754923181,201,9.61389E+11,44.86781402,-93.63169882
202,2025-08-11-09-39-41-764,1754923182,202,9.61896E+11,44.86781389,-93.63169215
203,2025-08-11-09-39-42-270,1754923182,203,9.62402E+11,44.8678139,-93.63168601
204,2025-08-11-09-39-42-776,1754923183,204,9.62909E+11,44.86781394,-93.63168026
205,2025-08-11-09-39-43-281,1754923183,205,9.63416E+11,44.86781408,-93.63167448
206,2025-08-11-09-39-43-790,1754923184,206,9.63922E+11,44.86781421,-93.63166875
207,2025-08-11-09-39-44-294,1754923184,207,9.64429E+11,44.86781446,-93.63166325
208,2025-08-11-09-39-44-803,1754923185,208,9.64936E+11,44.86781444,-93.63165862
209,2025-08-11-09-39-45-310,1754923185,209,9.65442E+11,44.86781436,-93.63165346
210,2025-08-11-09-39-45-815,1754923186,210,9.65949E+11,44.86781453,-93.63164913
211,2025-08-11-09-39-46-326,1754923186,211,9.66455E+11,44.86781461,-93.63164489
212,2025-08-11-09-39-46-829,1754923187,212,9.66962E+11,44.86781459,-93.63164106
213,2025-08-11-09-39-47-337,1754923187,213,9.67469E+11,44.86781472,-93.63163697
214,2025-08-11-09-39-47-841,1754923188,214,9.67975E+11,44.86781482,-93.631633
215,2025-08-11-09-39-48-348,1754923188,215,9.68482E+11,44.86781487,-93.63162916
216,2025-08-11-09-39-48-852,1754923189,216,9.68989E+11,44.86781482,-93.63162516
217,2025-08-11-09-39-49-361,1754923189,217,9.69495E+11,44.86781491,-93.63162094
218,2025-08-11-09-39-49-868,1754923190,218,9.70002E+11,44.86781491,-93.63161669
219,2025-08-11-09-39-50-375,1754923190,219,9.70508E+11,44.86781503,-93.63161271
220,2025-08-11-09-39-50-882,1754923191,220,9.71015E+11,44.86781507,-93.63160863
221,2025-08-11-09-39-51-389,1754923191,221,9.71522E+11,44.86781515,-93.6316045
222,2025-08-11-09-39-51-896,1754923192,222,9.72028E+11,44.86781524,-93.63160055
223,2025-08-11-09-39-52-402,1754923192,223,9.72535E+11,44.86781513,-93.63159652
224,2025-08-11-09-39-52-908,1754923193,224,9.73042E+11,44.8678151,-93.63159247
225,2025-08-11-09-39-53-417,1754923193,225,9.73548E+11,44.86781498,-93.63158763
