Name,Longitude,Latitude,Solution status,Correction type
row_1_1,-93.63243728,44.86782693,FIX,RTK
row_1_2,-93.63242712960896,44.86782693193937,FIX,RTK
row_1_3,-93.63241580959075,44.86782693410221,FIX,RTK
row_1_4,-93.63240399953075,44.86782693635869,FIX,RTK
row_1_5,-93.63239296966088,44.867826938466095,FIX,RTK
row_1_6,-93.63238008958575,44.86782694092701,FIX,RTK
row_1_7,-93.63236900962079,44.86782694304399,FIX,RTK
row_1_8,-93.6323574296977,44.86782694525649,FIX,RTK
row_1_9,-93.63234566968715,44.8678269475034,FIX,RTK
row_1_10,-93.63233522944446,44.86782694949815,FIX,RTK
row_1_11,-93.63232320945674,44.86782695179474,FIX,RTK
row_1_12,-93.6323111696478,44.86782695409511,FIX,RTK
row_1_13,-93.63230030960297,44.86782695617007,FIX,RTK
row_1_14,-93.6322887394973,44.8678269583807,FIX,RTK
row_1_15,-93.63227664951718,44.86782696069065,FIX,RTK
row_1_16,-93.63226548955603,44.86782696282292,FIX,RTK
row_1_17,-93.63225272965586,44.86782696526087,FIX,RTK
row_1_18,-93.63224203953872,44.86782696730336,FIX,RTK
row_1_19,-93.6322308695053,44.86782696943755,FIX,RTK
row_1_20,-93.63221986957838,44.86782697153924,FIX,RTK
row_1_21,-93.63220723960211,44.86782697395236,FIX,RTK
row_1_22,-93.6321959493671,44.86782697610952,FIX,RTK
row_1_23,-93.63218442944401,44.86782697831056,FIX,RTK
row_1_24,-93.6321728993916,44.867826980513534,FIX,RTK
row_1_25,-93.63216031946858,44.8678269829171,FIX,RTK
row_1_26,-93.63214933953405,44.867826985014965,FIX,RTK
row_1_27,-93.63213748943221,44.86782698727909,FIX,RTK
row_1_28,-93.63212623947108,44.86782698942855,FIX,RTK
row_1_29,-93.6321143694453,44.867826991696475,FIX,RTK
row_1_30,-93.63210267954885,44.867826993929995,FIX,RTK
row_1_31,-93.63209115963338,44.86782699613103,FIX,RTK
row_1_32,-93.63207939963041,44.86782699837794,FIX,RTK
row_1_33,-93.63206813968449,44.86782700052931,FIX,RTK
row_1_34,-93.63205754965102,44.86782700255268,FIX,RTK
row_1_35,-93.63204536965571,44.867827004879835,FIX,RTK
row_1_36,-93.63203407954623,44.867827007036965,FIX,RTK
row_1_37,-93.63202275952423,44.86782700919981,FIX,RTK
row_1_38,-93.63201065953653,44.86782701151168,FIX,RTK
row_1_39,-93.63199986949166,44.86782701357326,FIX,RTK
row_1_40,-93.6319876196523,44.86782701591376,FIX,RTK
row_1_41,-93.63197598963794,44.867827018135834,FIX,RTK
row_1_42,-93.63196494976425,44.86782702024515,FIX,RTK
row_1_43,-93.63195277961681,44.867827022570424,FIX,RTK
row_1_44,-93.63194075965953,44.867827024867005,FIX,RTK
row_1_45,-93.63192890964896,44.867827027131106,FIX,RTK
row_1_46,-93.63191805960412,44.86782702920416,FIX,RTK
row_1_47,-93.63190629955932,44.86782703145108,FIX,RTK
row_1_48,-93.63189500968186,44.867827033608165,FIX,RTK
row_1_49,-93.63188299971696,44.86782703590283,FIX,RTK
row_1_50,-93.63187211964548,44.86782703798162,FIX,RTK
row_1_51,-93.63185992963497,44.86782704031069,FIX,RTK
row_1_52,-93.63184834969286,44.86782704252319,FIX,RTK
row_1_53,-93.63183797965938,44.86782704450453,FIX,RTK
row_1_54,-93.63182639954991,44.86782704671707,FIX,RTK
row_1_55,-93.63181374950899,44.86782704913403,FIX,RTK
row_1_56,-93.63180297958586,44.867827051191775,FIX,RTK
row_1_57,-93.6317917496209,44.86782705333741,FIX,RTK
row_1_58,-93.63177984970544,44.86782705561105,FIX,RTK
row_1_59,-93.63176744973677,44.867827057980236,FIX,RTK
row_1_60,-93.63175634983648,44.86782706010102,FIX,RTK
row_1_61,-93.63174533979924,44.86782706220464,FIX,RTK
row_1_62,-93.63173302973549,44.86782706455665,FIX,RTK
row_1_63,-93.63172224981993,44.8678270666163,FIX,RTK
row_1_64,-93.63171028982842,44.86782706890142,FIX,RTK
row_1_65,-93.63169865997,44.86782707112346,FIX,RTK
row_1_66,-93.6316873397464,44.86782707328634,FIX,RTK
row_1_67,-93.63167598989557,44.86782707545489,FIX,RTK
row_1_68,-93.63166476972522,44.867827077598655,FIX,RTK
row_1_69,-93.63165229993913,44.867827079981176,FIX,RTK
row_1_70,-93.63164117975737,44.86782708210584,FIX,RTK
row_1_71,-93.63163013981521,44.86782708421517,FIX,RTK
row_1_72,-93.63161833983891,44.867827086469724,FIX,RTK
row_1_73,-93.63160649984357,44.867827088731914,FIX,RTK
row_1_74,-93.63159504987102,44.86782709091959,FIX,RTK
row_1_75,-93.63158378986043,44.867827093070964,FIX,RTK
row_1_76,-93.63157167999823,44.86782709538472,FIX,RTK
row_1_77,-93.63155990966436,44.86782709763361,FIX,RTK
row_1_78,-93.63154787969187,44.86782709993209,FIX,RTK
row_1_79,-93.63153611978022,44.867827102178985,FIX,RTK
row_1_80,-93.63152525972775,44.86782710425395,FIX,RTK
row_1_81,-93.63151316976287,44.8678271065639,FIX,RTK
row_1_82,-93.63150232978647,44.867827108635026,FIX,RTK
row_1_83,-93.63149045972646,44.867827110902965,FIX,RTK
row_1_84,-93.6314792096436,44.86782711305245,FIX,RTK
row_1_85,-93.63146715989554,44.867827115354714,FIX,RTK
row_1_86,-93.63145642970233,44.867827117404865,FIX,RTK
row_1_87,-93.63144549971832,44.86782711949319,FIX,RTK
row_1_88,-93.63143370976103,44.867827121745826,FIX,RTK
row_1_89,-93.63142139972008,44.86782712409782,FIX,RTK
row_1_90,-93.63140986977417,44.86782712630078,FIX,RTK
row_1_91,-93.63139808968755,44.867827128551525,FIX,RTK
row_1_92,-93.63138702969975,44.867827130664686,FIX,RTK
row_1_93,-93.63137495971965,44.867827132970824,FIX,RTK
row_1_94,-93.6313640597699,44.8678271350534,FIX,RTK
row_1_95,-93.63135216975174,44.86782713732516,FIX,RTK
row_1_96,-93.63134053982485,44.86782713954722,FIX,RTK
row_1_97,-93.63132984983324,44.867827141589686,FIX,RTK
row_1_98,-93.63131802985693,44.867827143848054,FIX,RTK
row_1_99,-93.63130668982731,44.86782714601472,FIX,RTK
row_1_100,-93.63129492990424,44.86782714826161,FIX,RTK
row_1_101,-93.63128405973006,44.867827150338506,FIX,RTK
row_1_102,-93.63127294982596,44.86782715246121,FIX,RTK
row_1_103,-93.63126072980403,44.86782715479601,FIX,RTK
row_1_104,-93.63124851975167,44.86782715712891,FIX,RTK
row_1_105,-93.6312377798019,44.86782715918092,FIX,RTK
row_1_106,-93.63122515981041,44.867827161592146,FIX,RTK
row_1_107,-93.63121367977702,44.86782716378556,FIX,RTK
row_1_108,-93.63120373978535,44.86782716568473,FIX,RTK
row_1_109,-93.63119105969498,44.86782716810744,FIX,RTK
row_1_110,-93.63117947970343,44.867827170319956,FIX,RTK
row_1_111,-93.63116854971564,44.867827172408276,FIX,RTK
row_1_112,-93.63115640995996,44.86782717472774,FIX,RTK
