ClassIndex,RawLabelValue,IoU_Global(%),IoU_ImageAvg(%)
0,0,98.97,98.91
1,1,1.26,3.24
2,2,72.3,64.17
3,3,6.63,4.84

Metric,Value
mIoU_D_overall(%),44.79
mIoU_I_overall(%),42.79

WorstCase_Overall,NumImages,AvgIoU_overall(%),Filenames
Worst 5%,1,24.47,04678_016F4E5D_1.png
Worst 10%,2,24.62,04678_016F4E5D_1.png; 02999_016F4E5D_2.png
Worst 15%,3,24.75,04678_016F4E5D_1.png; 02999_016F4E5D_2.png; 02066_016F4E5D_4.png

WorstCase_TargetLabel,TargetLabel,NumImages,AvgIoU_target_label(%),Filenames
Worst 5%,1,1,0.0,00193_016F4E5D_1.png
Worst 10%,1,2,0.0,00193_016F4E5D_1.png; 00193_016F4E5D_2.png
Worst 15%,1,3,0.0,00193_016F4E5D_1.png; 00193_016F4E5D_2.png; 00777_016F4E5D_1.png

WorstCase_TargetLabel,TargetLabel,NumImages,AvgIoU_target_label(%),Filenames
Worst 5%,2,1,0.0,00193_016F4E5D_2.png
Worst 10%,2,2,0.0,00193_016F4E5D_2.png; 00194_016F4E5D_1.png
Worst 15%,2,3,0.0,00193_016F4E5D_2.png; 00194_016F4E5D_1.png; 02066_016F4E5D_4.png

WorstCase_TargetLabel,TargetLabel,NumImages,AvgIoU_target_label(%),Filenames
Worst 5%,3,1,0.0,00193_016F4E5D_1.png
Worst 10%,3,2,0.0,00193_016F4E5D_1.png; 00194_016F4E5D_1.png
Worst 15%,3,3,0.0,00193_016F4E5D_1.png; 00194_016F4E5D_1.png; 00777_016F4E5D_1.png

Filename,IoU_per_image_overall(%)
00193_016F4E5D_1.png,43.67
00193_016F4E5D_2.png,25.32
00194_016F4E5D_1.png,38.74
00777_016F4E5D_1.png,42.62
00777_016F4E5D_2.png,38.75
00801_016F4E5D_1.png,43.64
00801_016F4E5D_3.png,46.57
00883_016F4E5D_3.png,33.36
02040_016F4E5D_3.png,44.64
02066_016F4E5D_2.png,38.85
02066_016F4E5D_4.png,24.99
02725_016F4E5D_4.png,25.61
02999_016F4E5D_2.png,24.78
04363_016F4E5D_2.png,44.08
04678_016F4E5D_1.png,24.47
04791_016F4E5D_4.png,43.99
05169_016F4E5D_1.png,42.75
05981_016F4E5D_2.png,29.85
06234_016F4E5D_2.png,27.06
06405_016F4E5D_4.png,25.09
06474_016F4E5D_2.png,42.08
07013_016F4E5D_3.png,32.35
