"marker","chr","pos","lod"
"1_443667","1",0,0.435715585144408
"1_2822616","1",0.809001,0.528840301798027
"1_334737","1",4.824502,0.668005991004293
"1_93619","1",6.573003,0.613765015893705
"1_268616","1",6.573004,0.613765015890067
"1_547952","1",6.772005,0.591898814790511
"1_631086","1",7.172506,0.624710993456119
"1_741516","1",7.622007,0.498563811045187
"1_1060803","1",8.427508,0.431295018962601
"1_1170229","1",8.727009,0.497529784103108
"1_1304008","1",8.77701,0.525617223387144
"1_1400565","1",9.126011,0.622174405738633
"1_1623606","1",9.577012,0.578849251272914
"1_1999515","1",9.978013,0.566329120044657
"c1.loc10","1",10,0.567451446046107
"1_2306205","1",10.379514,0.592205203338835
"1_2145831","1",10.579015,0.573321647180137
"1_2424927","1",10.728516,0.667895836875687
"1_2618562","1",11.584017,0.718716713313825
"1_2718543","1",11.733518,0.611950163599204
"1_2955463","1",12.285019,0.466559873013011
"1_3008587","1",12.48452,0.499147517840811
"1_3077430","1",12.785021,0.504987784998775
"1_3325315","1",13.592022,0.463753874556915
"1_3523735","1",14.194023,0.531788954195235
"1_3758335","1",14.645524,0.544362875761863
"1_3959025","1",15.148025,0.55139158010229
"1_3142598","1",16.740026,0.535758510333153
"c1.loc20","1",20,0.426248475753937
"1_4517681","1",22.412027,0.374767349306921
"1_4613003","1",22.662028,0.444073392575547
"1_4681418","1",22.811529,0.382910200400374
"1_4913189","1",23.31453,0.42862913300246
"1_5045973","1",23.414031,0.447789851520611
"1_5191317","1",23.866032,0.352030868108386
"1_5782424","1",25.089533,0.431785994814845
"1_5940848","1",25.139034,0.425407735367571
"1_5860561","1",25.189035,0.416815947491841
"1_6034925","1",25.439036,0.385040065257726
"1_6215954","1",26.043037,0.291545901734935
"1_6320667","1",26.495038,0.336862949467786
"1_6966756","1",27.510539,0.414440917209276
"1_6763976","1",27.61004,0.357350860301722
"1_7478412","1",28.214541,0.305704746944684
"1_7377641","1",28.264042,0.304938556327215
"1_7643877","1",28.464043,0.319244833211542
"1_7710739","1",28.714044,0.303797654757545
"1_8017533","1",29.014045,0.246767488435125
"1_8371555","1",29.415546,0.244278594640718
"c1.loc30","1",30,0.224318034620865
"1_9320212","1",30.122047,0.22260080232013
"1_9183554","1",34.881548,0.237254452384377
"1_9254255","1",34.931549,0.225677054307653
"1_9696161","1",35.23155,0.237297659234173
"1_9997807","1",35.582551,0.196922578734302
"1_10143990","1",35.882552,0.167423120123658
"1_10270991","1",36.082553,0.178739960683515
"1_10197542","1",36.082554,0.178739960685334
"c1.loc40","1",40,0.430695184283877
"1_10327568","1",41.742055,0.495224835489353
"1_10502666","1",41.841556,0.481602238689902
"1_10608149","1",41.891557,0.496703359365938
"1_10871127","1",41.991058,0.442283112413406
"1_10668596","1",42.041059,0.445994651216324
"1_12994384","1",42.49256,0.374939157644576
"1_11933074","1",48.529061,0.632276816028934
"1_11409494","1",48.728562,0.53564024788011
"c1.loc50","1",50,0.440197046849789
"1_12424864","1",50.991563,0.372758403686248
"1_12562013","1",51.645064,0.391247278323817
"1_12633525","1",52.197065,0.411266176337449
"1_12754531","1",52.246566,0.379283931021064
"1_12827804","1",52.547067,0.406482165272109
"1_12892148","1",52.847068,0.442629956884048
"1_13380398","1",53.298569,0.497178627447965
"1_14682355","1",53.64807,0.421539239554932
"1_14789269","1",53.648071,0.421539239545609
"1_16657949","1",55.181572,0.344330828720331
"1_17438406","1",57.076573,0.537642019663735
"1_17835220","1",57.729574,0.506359422382729
"1_18659545","1",59.895075,0.562948267395768
"1_18877141","1",59.994576,0.700633167222577
"c1.loc60","1",60,0.700270884573229
"1_19421864","1",62.032577,0.562911391824855
"1_19775332","1",62.939578,0.627574442155492
"1_20297007","1",63.541079,0.662624307572514
"1_20624760","1",64.49458,0.703493369283251
"1_20722844","1",65.252081,0.480212838248235
"1_20843669","1",65.804082,0.3487198885
"1_20914451","1",66.306083,0.343273616884971
"1_20986109","1",67.218084,0.674209805375995
"1_21277450","1",67.569085,0.673373014479239
"1_21821786","1",67.919586,0.640022363759954
"1_21945869","1",69.332087,0.617166117415763
"1_22123159","1",69.933088,0.558132932808576
"c1.loc70","1",70,0.547386654659476
"1_22193391","1",70.233589,0.508785502898263
"1_22352558","1",70.93509,0.422668221002596
"1_22424733","1",71.234591,0.43275500329969
"1_23051638","1",73.788092,0.518720278877254
"1_23108100","1",73.987593,0.564672818249164
"1_23733091","1",74.490094,0.559409450813973
"1_23665313","1",74.739595,0.516217796723822
"1_22974826","1",76.331596,0.280435330220371
"1_22701079","1",79.277597,0.566162052355367
"c1.loc80","1",80,0.618614895487781
"1_22874519","1",84.362598,0.865593985624855
"2_328355","2",0,0.818680074322629
"c2.loc10","2",10,0.213391136140899
"2_10978","2",18.164501,0.255907956142892
"2_583705","2",18.765502,0.172001838423284
"2_681324","2",19.824503,0.187575204076211
"c2.loc20","2",20,0.187930871782783
"2_854531","2",20.780004,0.185456564161768
"2_953454","2",21.734005,0.337832716898674
"2_1626662","2",23.148506,0.618292275578824
"2_2263163","2",25.472007,0.914838428802341
"2_1755729","2",25.672008,0.731021556092173
"2_1876931","2",25.972509,0.789477773201043
"2_2348470","2",27.61751,0.835844287227701
"c2.loc30","2",30,1.38288307278935
"2_2688648","2",30.546511,1.47742254796708
"2_2787199","2",31.253012,1.71741738663582
"2_2912460","2",33.042013,1.72174742283755
"2_3061567","2",34.057514,1.99116193561508
"2_3271376","2",34.560015,2.04854196913561
"2_3531507","2",37.165516,2.12418993841766
"2_3665247","2",37.516017,2.375650396315
"c2.loc40","2",40,3.04759828102237
"2_3759497","2",41.018018,3.21174934405099
"2_4288608","2",42.984019,5.20453677653654
"2_4497054","2",44.40252,6.58805626606295
"2_4599939","2",46.176521,6.87036072789056
"2_4703733","2",47.184022,6.98933726970017
"2_4825658","2",48.292023,8.08413407232592
"c2.loc50","2",50,9.85263517153908
"2_5966830","2",58.154024,15.9692691611979
"2_6129731","2",58.353025,16.1643910345956
"2_6241099","2",58.603026,16.4146861373367
"2_6781830","2",59.002527,17.0136179255624
"2_6490761","2",59.909028,18.4650959126532
"c2.loc60","2",60,18.55690288654
"2_7412824","2",61.219529,19.3406301219493
