"trait","status","non_missing_n","max_lod","max_lod_chr","max_lod_pos","threshold_5pct","significant_5pct","peak_marker","marker_pve_percent","fitqtl_pve_percent","raw_effect_max_minus_min","standardized_effect","error"
"rgb_r_mean","ok",934,11.6997957200979,"2",71.890053,4.41033648113588,TRUE,"2_17785364",5.60546931728447,5.60545149981949,8.27270044750654,0.568152629021917,NA
"rgb_r_std","ok",934,4.02921310526267,"10",70.702035,4.3895781775749,FALSE,"10_8422060",1.96704767308264,1.96703624178497,1.2242623819601,0.368065283106103,NA
"rgb_r_min","ok",934,6.32030114567874,"2",70,6.7569100067529,FALSE,"2_14873799",3.06330012388288,3.08863832921602,2.2280648562076,0.375151092000317,NA
"rgb_r_max","ok",934,8.28774713819348,"2",67.846543,4.3904390211862,TRUE,"2_10312496",4.0039747575665,4.00397979858618,9.68115407752515,0.46632668073404,NA
"rgb_r_median","ok",934,12.2112919870422,"2",71.890053,4.50684460826416,TRUE,"2_17785364",5.84323099497408,5.84321194273452,8.76297600885253,0.579981899324406,NA
"rgb_r_p5","ok",934,13.3183603105981,"2",71.590551,4.40219302542409,TRUE,"2_17347640",6.35577872304387,6.35577219670158,5.69000155692344,0.585480451158707,NA
"rgb_r_p25","ok",934,13.5420674712673,"2",71.890053,4.48624425043281,TRUE,"2_17785364",6.45901822049111,6.45900100943683,7.94486599286685,0.602831557709502,NA
"rgb_r_p75","ok",934,10.5114163488568,"2",71.890053,4.59896877145584,TRUE,"2_17785364",5.05074962577779,5.05073103945177,9.08246257977453,0.543678681608225,NA
"rgb_r_p95","ok",934,8.49791503596407,"2",71.890053,4.456388897521,TRUE,"2_17785364",4.10342049412085,4.10340519988093,9.17503330411837,0.493640451026464,NA
"rgb_g_mean","ok",934,13.64937161432,"2",71.590551,4.50522458209406,TRUE,"2_17347640",6.50849354909322,6.5084793650764,9.85366846894843,0.62054807078791,NA
"rgb_g_std","ok",934,3.8443325314222,"10",70.702035,4.47329294784736,FALSE,"10_8422060",1.87764183595821,1.87763132083529,1.28895525032827,0.360788369222458,NA
"rgb_g_min","ok",934,8.36013033431868,"2",70.942045,5.61017936212855,TRUE,"2_14873799",4.03826448305777,4.03825698688406,2.71153741252449,0.434757668747999,NA
"rgb_g_max","ok",934,8.5822115232022,"2",67.846543,4.30755346442946,TRUE,"2_10312496",4.14324778554789,4.14325337352016,9.92187214207263,0.477779975983273,NA
"rgb_g_median","ok",934,14.5380405892415,"2",71.590551,4.41806952298867,TRUE,"2_17347640",6.91724589352871,6.91723143053389,10.6388454090668,0.639310321030338,NA
"rgb_g_p5","ok",934,16.6047602465198,"2",71.590551,4.35265112332453,TRUE,"2_17347640",7.8609463885262,7.86094718140771,6.81073131820583,0.655859864087606,NA
"rgb_g_p25","ok",934,16.1965055233547,"2",71.590551,4.44753590360029,TRUE,"2_17347640",7.67529793496664,7.67528676102545,9.61185821577519,0.665882992444857,NA
"rgb_g_p75","ok",934,12.2006484851152,"2",71.590551,4.37917921170472,TRUE,"2_17347640",5.83828828354312,5.83827197833486,10.8982824956832,0.593020032013659,NA
"rgb_g_p95","ok",934,8.61019498028213,"2",71.590551,4.47750722942411,TRUE,"2_17347640",4.15649533261536,4.15647909747077,10.0356102653123,0.506133504357702,NA
"rgb_b_mean","ok",934,5.37151340368064,"6",1.155002,4.44209915217481,TRUE,"6_670815",2.61384737939977,2.61376933325592,3.28705822754777,0.412156344808394,NA
"rgb_b_std","ok",934,4.1321896856922,"6",47.914015,4.45028410399391,FALSE,"6_4282333",2.01682508791634,2.01679578646359,0.805686867213549,0.408263272909774,NA
"rgb_b_min","ok",934,5.80083914911427,"6",95.724058,17.4665653741801,FALSE,"6_22260083",2.819641951436,2.81964471051035,1.42470330508378,0.470819579956874,NA
"rgb_b_max","ok",934,4.48935320341775,"2",67.846543,4.37088467052652,TRUE,"2_10312496",2.18920159644249,2.18920057296118,5.32357226542698,0.34038993645313,NA
"rgb_b_median","ok",934,5.74774760519495,"6",1.155002,4.29222707913486,TRUE,"6_670815",2.79435822925482,2.79426166403428,3.57888316312015,0.426612567301706,NA
"rgb_b_p5","ok",934,5.00240732139923,"2",71.890053,4.46912956157349,TRUE,"2_17785364",2.43631682249363,2.43631374167328,1.80757655690256,0.365662244502993,NA
"rgb_b_p25","ok",934,5.31225470493973,"6",1.155002,4.46886044249173,TRUE,"6_670815",2.58545426480354,2.5853171698442,2.86897440997906,0.401977686380868,NA
"rgb_b_p75","ok",934,5.6611385277904,"6",1.155002,4.57334002505905,TRUE,"6_670815",2.75278865869934,2.75272994261103,3.99382558468832,0.429125730816273,NA
"rgb_b_p95","ok",934,4.85558565033671,"6",47.914015,4.43059394800588,TRUE,"6_4282333",2.36569464256222,2.36565747888086,4.52720216799676,0.442027971222348,NA
"hsv_h_mean","ok",934,4.36066801921788,"19",68.866064,4.38466229890482,FALSE,"19_19968859",2.12712200107781,2.12711909686926,0.933157693657861,0.36891397036392,NA
"hsv_h_std","ok",934,22.5848910058112,"2",71.54055,4.45439658059109,TRUE,"2_17478449",10.5380571457052,10.5380557750492,1.02379399968935,0.757905634727804,NA
"hsv_h_min","ok",934,8.36445242664092,"2",71.54055,4.31948150088584,TRUE,"2_17478449",4.0402907012378,4.04027995076813,1.22599130288778,0.463581005091144,NA
"hsv_h_max","ok",934,6.13302694419644,"2",71.890053,4.40196042569372,TRUE,"2_17785364",2.97869107414159,2.97867974643236,3.22693436997158,0.450572192972288,NA
"hsv_h_median","ok",934,4.40311385410166,"10",67.252523,4.49061632038585,FALSE,"10_5618563",2.14761244013364,2.14759629652189,1.13078987060842,0.412175429703742,NA
"hsv_h_p5","ok",934,13.7240971126432,"2",70.942045,4.50281394554038,TRUE,"2_14873799",6.54296718375984,6.5429226353482,1.90513639211493,0.583616345954578,NA
"hsv_h_p25","ok",934,5.88210893757582,"2",70.942045,4.36448528679589,TRUE,"2_14873799",2.85861077819641,2.85857863447039,1.24605277352871,0.393788521533078,NA
"hsv_h_p75","ok",934,5.89439718095321,"19",68.866064,4.44674506937455,TRUE,"19_19968859",2.86446631570801,2.86446269127659,1.02499226407357,0.428567244556094,NA
"hsv_h_p95","ok",934,10.0409104884837,"2",72.239556,4.38940198876764,TRUE,"2_18448449",4.83035396556819,4.83030610373154,1.57215880920318,0.527594263317154,NA
"hsv_s_mean","ok",934,26.8677047504273,"2",70.942045,4.47349531084063,TRUE,"2_14873799",12.4075331523413,12.4074004510286,10.1877930107697,0.832122827007762,NA
"hsv_s_std","ok",934,24.0513585930848,"2",70.942045,4.41663163013127,TRUE,"2_14873799",11.1826598995806,11.1826007367575,2.67006510000557,0.787190840206273,NA
"hsv_s_min","ok",934,16.9674052413093,"2",71.54055,4.38258000462795,TRUE,"2_17478449",8.02555491503359,8.02554364110936,8.73188120239496,0.653493005894969,NA
"hsv_s_max","ok",934,8.66598023122151,"2",65.777042,4.48096864385631,TRUE,"2_11004272",4.18285702038239,4.18284435943672,2.16326479082494,0.526673738960238,NA
"hsv_s_median","ok",934,25.3298760448747,"2",70.942045,4.32066286584204,TRUE,"2_14873799",11.7408477497456,11.7407084249168,10.9694529607691,0.812303741042781,NA
"hsv_s_p5","ok",934,31.1278202932231,"2",70.942045,4.4163145911289,TRUE,"2_14873799",14.2281994095385,14.228104876029,13.3406764454976,0.886102499724627,NA
"hsv_s_p25","ok",934,28.6762199686543,"2",70.942045,4.43958699119707,TRUE,"2_14873799",13.1851317640804,13.1849948633627,12.3623675485491,0.855157007218906,NA
"hsv_s_p75","ok",934,21.6939907322521,"2",70.942045,4.44216540176934,TRUE,"2_14873799",10.1443419414988,10.1442134684754,8.67792647562294,0.753748617820683,NA
"hsv_s_p95","ok",934,17.8635071016645,"2",65.777042,4.51858295042001,TRUE,"2_11004272",8.4310365603035,8.43103349883251,5.00629974462552,0.74087688851038,NA
"hsv_v_mean","ok",934,13.0335422210967,"2",71.590551,4.42144498367358,TRUE,"2_17347640",6.22418497133501,6.22416956762025,9.62224444229801,0.605968196004652,NA
"hsv_v_std","ok",934,3.646994916317,"10",71.600039,4.55311043223115,FALSE,"10_8893209",1.7821180213219,1.78211301039571,1.22525573635222,0.350578132412068,NA
"hsv_v_min","ok",934,7.64107230176432,"2",70,5.7370408829299,TRUE,"2_14873799",3.69005301559648,3.72013141828769,2.63047325696175,0.412055276846416,NA
"hsv_v_max","ok",934,8.29338433304952,"2",67.846543,4.3627880275131,TRUE,"2_10312496",4.00664585542252,4.00664754047767,9.548534532285,0.464985597666727,NA
"hsv_v_median","ok",934,13.9177130568132,"2",71.890053,4.45449310094972,TRUE,"2_17785364",6.63210853744695,6.63209423462178,10.3406837282626,0.621410721059774,NA
"hsv_v_p5","ok",934,15.6198262045452,"2",71.590551,4.41077100530036,TRUE,"2_17347640",7.41240577134126,7.4124026930942,6.70676753765503,0.635924456714687,NA
"hsv_v_p25","ok",934,15.4729175285865,"2",71.590551,4.51885533504959,TRUE,"2_17347640",7.34532283990043,7.34530911551228,9.40451328548199,0.649785307519262,NA
"hsv_v_p75","ok",934,11.6901258179132,"2",71.890053,4.44421639167384,TRUE,"2_17785364",5.60096649173044,5.60095241595966,10.5787269141361,0.577567038536205,NA
"hsv_v_p95","ok",934,8.24736162647764,"2",71.890053,4.42870033339233,TRUE,"2_17785364",3.98487617623726,3.98486508971206,9.69885725095847,0.492514103292267,NA
"lab_l_mean","ok",934,13.4049009961611,"2",71.590551,4.38862420854102,TRUE,"2_17347640",6.39573276013745,6.3957178541012,10.0775922474731,0.616593716043328,NA
"lab_l_std","ok",934,3.69082186169135,"10",70.702035,4.36836837593386,FALSE,"10_8422060",1.80334453161522,1.80333469252077,1.1458094483275,0.355983723716928,NA
"lab_l_min","ok",934,8.10702046149277,"2",70,4.94090445140021,TRUE,"2_14873799",3.91460839760676,3.94226267159002,2.86603165244175,0.430384330200864,NA
"lab_l_max","ok",934,8.58552277908825,"2",67.846543,4.44778406136839,TRUE,"2_10312496",4.14481255285558,4.14481793530648,9.38417499215765,0.475450064800314,NA
"lab_l_median","ok",934,14.0579434261917,"2",71.590551,4.49709592593324,TRUE,"2_17347640",6.6966435967796,6.69662770366255,10.8444116824873,0.631619123508741,NA
"lab_l_p5","ok",934,16.5785512139589,"2",71.590551,4.37347773110516,TRUE,"2_17347640",7.84904033347247,7.84903938496141,7.51038784493728,0.6554216196503,NA
"lab_l_p25","ok",934,15.8388004396586,"2",71.590551,4.34030705266709,TRUE,"2_17347640",7.51232220273001,7.51230967392264,10.1168759276469,0.660746291339601,NA
"lab_l_p75","ok",934,11.874147395373,"2",71.890053,4.33919153463488,TRUE,"2_17785364",5.68657859352791,5.68656538020663,10.8127882788337,0.58407309724796,NA
"lab_l_p95","ok",934,8.65463563223966,"2",71.890053,4.46931438188312,TRUE,"2_17785364",4.17749032364905,4.17747996986715,9.81635172300652,0.505793492665595,NA
"lab_a_mean","ok",934,17.8486529188143,"2",70,4.39451838544528,TRUE,"2_14873799",8.41399114749242,8.39555002368669,1.70022083438572,0.708161029696672,NA
"lab_a_std","ok",934,4.19768253258957,"6",60.538525,4.27635741677462,FALSE,"6_6016850",2.04844080582352,2.04843855224149,0.186271706902954,0.344266322159269,NA
"lab_a_min","ok",934,8.4362275455876,"2",68.298544,4.46867533662083,TRUE,"2_13969416",4.0742352940819,4.07424723653689,1.1097835676848,0.522151792291996,NA
"lab_a_max","ok",934,4.3436479348461,"5",21.106527,4.45321001738257,FALSE,"5_4453596",2.11893602090312,2.11889523698937,0.86792200307309,0.403030564835714,NA
"lab_a_median","ok",934,18.8934910881535,"2",70.942045,4.47034132874583,TRUE,"2_14873799",8.894962347115,8.89488367248691,1.86691209365705,0.726487747495189,NA
"lab_a_p5","ok",934,9.96866362430046,"2",71.590551,4.37690725469318,TRUE,"2_17347640",4.79631177927653,4.79630027847419,1.40297531555115,0.571012092996844,NA
"lab_a_p25","ok",934,15.8406779243121,"2",70,4.57116437675611,TRUE,"2_14873799",7.49147799458222,7.49163612518853,1.76953209583804,0.680928877014215,NA
"lab_a_p75","ok",934,20.3521150588766,"2",70.942045,4.47712117824556,TRUE,"2_14873799",9.54781446793189,9.5477513168458,1.82174058484422,0.734481758767632,NA
"lab_a_p95","ok",934,17.2950641990715,"2",70.942045,4.3777321288395,TRUE,"2_14873799",8.17406783194073,8.17402077240516,1.3889170552097,0.658704633282387,NA
"lab_b_mean","ok",934,23.5289090939614,"2",71.590551,4.43616712976276,TRUE,"2_17347640",10.9535054582523,10.9534944969512,3.6134534062079,0.80302626634911,NA
"lab_b_std","ok",934,4.85896371076382,"10",70.702035,4.37993826889238,TRUE,"10_8422060",2.36729434046394,2.36728520100501,0.305505277682772,0.393118787522038,NA
"lab_b_min","ok",934,12.481428027065,"2",71.54055,4.38774023435151,TRUE,"2_17478449",5.9685448857915,5.96854403616022,1.05584911235491,0.588383940822656,NA
"lab_b_max","ok",934,11.4829598721042,"2",68.298544,4.33194819332443,TRUE,"2_13969416",5.50447693114171,5.50447747120451,2.76070078374286,0.589427732362133,NA
"lab_b_median","ok",934,24.84220566964,"2",71.590551,4.28469495244817,TRUE,"2_17347640",11.5282475671998,11.5282375849674,3.94469297993356,0.824972309689985,NA
"lab_b_p5","ok",934,29.7279743642862,"2",71.590551,4.37893441439988,TRUE,"2_17347640",13.6340363230712,13.6340364630374,2.95179211812621,0.861090914962069,NA
"lab_b_p25","ok",934,28.4739698347291,"2",71.590551,4.48949816704263,TRUE,"2_17347640",13.0983881642141,13.0983795846036,3.78171822700725,0.861182113901244,NA
"lab_b_p75","ok",934,19.7658484588817,"2",71.590551,4.36380779672137,TRUE,"2_17347640",9.285904750698,9.28589213417708,3.75876428325029,0.750178077578265,NA
"lab_b_p95","ok",934,13.6105450777195,"2",71.590551,4.42148326338456,TRUE,"2_17347640",6.49059337305744,6.49057998169945,3.14344515334196,0.643421093626016,NA
